name,address,type_of_place,rating,reviews,contact,url
Akhil India private limited 91-C warehouse jammu,"Ratnuchak, Sanjay Nagar, Gujarbasti, Jammu, Jammu and Kashmir 180001",warehouses in india,4.7,(3),N/A,"https://www.google.com/maps/place/Akhil+India+private+limited+91-C+warehouse+jammu/@32.7158125,74.5528169,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e85f325f99e97:0xdbef2faa9ccf9ddf!8m2!3d32.7158125!4d74.8576875!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11rwyfqnb_?entry=ttu"
Safari Industries India Ltd,"Camp Gurdwara, H No. 288, Ward No. 58, near Digiana, Gangayal, Jammu, Jammu and Kashmir 180010",warehouses in india,4.3,(6),N/A,"https://www.google.com/maps/place/Safari+Industries+India+Ltd/@32.7158125,74.5528169,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e9bc664817699:0xeab440f17bae1a45!8m2!3d32.6780608!4d74.8620982!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11fdxcp9ds?entry=ttu"
VI Warehouse Jammu,"White House, Vodafone Idea Warehouse Anke Industrial Complex, National Highway, near Tata Motors, Kaluchak, Jammu, Jammu and Kashmir 180010",warehouses in india,4.5,(2),N/A,"https://www.google.com/maps/place/VI+Warehouse+Jammu/@32.7158125,74.5528169,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e9d01a30deb53:0x5b33da8a9fcf9f89!8m2!3d32.6577839!4d74.8891814!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11tkb13trp?entry=ttu"
FastBeetle Warehouse Jammu,"Dharap, Jammu, Jammu and Kashmir 181132",warehouses in india,3.6,(5),N/A,"https://www.google.com/maps/place/FastBeetle+Warehouse+Jammu/@32.7158125,74.5528169,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e9baf4f11d58d:0x5a40101bcfdb180b!8m2!3d32.650208!4d74.8598046!15sChN3YXJlaG91c2VzIGluIGluZGlhWhUiE3dhcmVob3VzZXMgaW4gaW5kaWGSAQl3YXJlaG91c2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkNNemRUV1RoQlJSQULgAQA!16s%2Fg%2F11k4sqsqq8?entry=ttu"
Rani Bagh Warehouse,"MRHR+RCF, RS Pura Rd, Raipur Satwari, Jammu, Jammu and Kashmir 180003",warehouses in india,4.5,(4),094191 44732,"https://www.google.com/maps/place/Rani+Bagh+Warehouse/@32.7158125,74.5528169,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e9b3045739707:0x3c86399b037da634!8m2!3d32.6795671!4d74.8410512!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11b7lmvlvb?entry=ttu"
Centre warehouse corporation ( FOOD CORPORATION OF INDIA ) MOGA - 2 (Base),"R5F2+636, Bagha Purana - Firozpur Byp, Hardev Nagar, Moga Jitsingh, Punjab 142001",warehouses in india,N/A,N/A,N/A,"https://www.google.com/maps/place/Centre+warehouse+corporation+(+FOOD+CORPORATION+OF+INDIA+)+MOGA+-+2+(Base)/@30.8230409,74.8452741,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391a070f9f3c878f:0xce5804d4046dd3a!8m2!3d30.8230409!4d75.1501447!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11q3d0qtsc?entry=ttu"
Central warehousing corporation,"QR4R+7R6, Patal Nagar, Jammu, 181121",warehouses in india,5.0,(1),1800 313 0026,"https://www.google.com/maps/place/Central+warehousing+corporation/@32.755902,74.5374354,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e855b08ba0b53:0x37190bc0b7abd21e!8m2!3d32.755902!4d74.842306!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEQc3RvcmFnZV9mYWNpbGl0eeABAA!16s%2Fg%2F11j_7vz3s3?entry=ttu"
"ware house,steel authority of india limited","near Jammu tawi railway station, Jammu, Jammu and Kashmir 180004",warehouses in india,3.9,(19),N/A,"https://www.google.com/maps/place/ware+house,steel+authority+of+india+limited/@32.755902,74.5374354,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e83ab80a9bb9d:0xe4ecb088a54d10cd!8m2!3d32.7069878!4d74.8849473!15sChN3YXJlaG91c2VzIGluIGluZGlhWhUiE3dhcmVob3VzZXMgaW4gaW5kaWGSAQl3YXJlaG91c2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnBiUzF5U0doblJSQULgAQA!16s%2Fg%2F11j4mm9s6p?entry=ttu"
"Xplent | On-Demand Warehouse - Buy, Sale, Lease & Rent Warehouse or Godown in India","SCO 83-84, 3rd Floor, Sector 17D, Chandigarh, 160017",warehouses in india,4.7,(3),1800 137 7499,"https://www.google.com/maps/place/Xplent+%7C+On-Demand+Warehouse+-+Buy,+Sale,+Lease+%26+Rent+Warehouse+or+Godown+in+India/@30.740799,76.4766444,11z/data=!3m1!5s0x390fed0aeb9866bf:0x25630704e7442a1c!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390fed0aeb8c4445:0x300dca27206a2072!8m2!3d30.740799!4d76.781515!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11c603ps73?entry=ttu"
Punjab State Warehousing Corporation,"A12 Phasr V Focal Point, Dhandari Kalan, Ludhiana, Punjab 141010",warehouses in india,3.6,(38),0172 819 7882,"https://www.google.com/maps/place/Punjab+State+Warehousing+Corporation/@30.8784197,75.6194636,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391a9d9baaaaaaab:0x71a3dd8ac54603c8!8m2!3d30.8784197!4d75.9243342!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F1v_w0r_6?entry=ttu"
Warehousing Express Logistics Pvt. Ltd.,"902, 9th Floor, Vipul Business Park, Central Park II, Sector 48, Gurugram, Haryana 122018",warehouses in india,4.0,(33),090151 76971,"https://www.google.com/maps/place/Warehousing+Express+Logistics+Pvt.+Ltd./@28.4224869,76.7326845,11z/data=!3m1!5s0x390d743ede8a4bd1:0xbe8b747624fa51e4!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390d1821a2ffffdf:0x9eaea279f2c2e5a1!8m2!3d28.4224869!4d77.0375551!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11ckkykt9v?entry=ttu"
Amritsar Warehouse Solutions,"Bala Chak, Punjab 143001",warehouses in india,N/A,N/A,N/A,"https://www.google.com/maps/place/Amritsar+Warehouse+Solutions/@31.5514845,74.5860444,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x39197dd9b1ee4d47:0xa0a160b60c3ef01b!8m2!3d31.5514845!4d74.890915!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11shwdx9hv?entry=ttu"
Warehousing Express Logistics Pvt. Ltd.,"C2M5+M4V, Block B, Sector 34, Gurugram, Haryana 122001",warehouses in india,4.1,(7),075034 37435,"https://www.google.com/maps/place/Warehousing+Express+Logistics+Pvt.+Ltd./@28.4342435,76.7029406,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390d174ef33428a5:0xa9beabcd3fba6e2a!8m2!3d28.4342435!4d77.0078112!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11p4bg5j65?entry=ttu"
Kanti Trading Co.,"Digiana, Sanjay Nagar, Jammu, Jammu and Kashmir 180004",warehouses in india,3.0,(2),N/A,"https://www.google.com/maps/place/Kanti+Trading+Co./@32.6896118,74.5538432,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e9b7edae70945:0x4fa0f12fd69449b7!8m2!3d32.6896118!4d74.8587138!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11fjfs_qwb?entry=ttu"
ServeXplus India Central Warehouse,"A36, Block A, Sector 04, Noida, Uttar Pradesh 201301",warehouses in india,5.0,(1),N/A,"https://www.google.com/maps/place/ServeXplus+India+Central+Warehouse/@28.5813752,77.0167269,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390ce549af1d1939:0x91f16ed67a40697a!8m2!3d28.5813752!4d77.3215975!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11k9n6s0ny?entry=ttu"
Warehousing India Warehouse,"PFGC+GW4, Delhi Meerut Road, Duhai, Ghaziabad, Basantpur Saitli, Uttar Pradesh 201206",warehouses in india,5.0,(1),N/A,"https://www.google.com/maps/place/Warehousing+India+Warehouse/@28.5813752,77.0167269,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390cf367c2ff8257:0xce6d7940d1cb1ffa!8m2!3d28.7262635!4d77.4723337!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11sc7cv0c_?entry=ttu"
international trading company,"MW96+PVW, Sector E, Sector D, Sainik Colony, Jammu, 180011",warehouses in india,3.8,(4),N/A,"https://www.google.com/maps/place/international+trading+company/@32.6693663,74.6073299,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e9dedb41d8ad9:0x94752ff48fc423ea!8m2!3d32.6693663!4d74.9122005!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11syf6n13z?entry=ttu"
Benevolence logistics,"Lane no 1, House No. 116 Ward No. 38 jammu Jammu and Kashmir, 181121",warehouses in india,5.0,(2),N/A,"https://www.google.com/maps/place/Benevolence+logistics/@32.6693663,74.6073299,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e857a93bbfcf1:0x432bebee04dbcb44!8m2!3d32.76433!4d74.835299!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11gmcxrkg_?entry=ttu"
Attar Logistics,"Plot-54, First floor,, Transport Nagar, near SRTC Yard, Narwal, Jammu and Kashmir 180006",warehouses in india,3.8,(67),097962 59993,"https://www.google.com/maps/place/Attar+Logistics/@32.6693663,74.6073299,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e8344edb276f1:0xaf4791861f13fd3c!8m2!3d32.709277!4d74.887824!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11c48lv0nf?entry=ttu"
KAPOOR WAREHOUSING COMPANY,"1213, Grand Trunk Rd, near G.S. AUTO, Industrial Area C, Dhandari Kalan, Ludhiana, Punjab 141011",warehouses in india,3.0,(1),N/A,"https://www.google.com/maps/place/KAPOOR+WAREHOUSING+COMPANY/@30.8628947,75.6208647,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391a837d032fa6f7:0xe6646a96484038ea!8m2!3d30.8628947!4d75.9257353!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11gmcn9wlm?entry=ttu"
Texla Warehouses,"Jugiana, Pawa, Punjab 141120",warehouses in india,4.7,(53),N/A,"https://www.google.com/maps/place/Texla+Warehouses/@30.8628947,75.6208647,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x3910762d95c1d199:0x2b3f5c53b877358!8m2!3d30.8466904!4d75.9505064!15sChN3YXJlaG91c2VzIGluIGluZGlhWhUiE3dhcmVob3VzZXMgaW4gaW5kaWGSAQl3YXJlaG91c2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkRkRjk2ZERkQlJSQULgAQA!16s%2Fg%2F11g9mt18j_?entry=ttu"
Warehousing Express Logistics Pvt Ltd,"Hotel Shahid, G M Warehouse”, Killa No. 1179//4/1/1/2, Behind Golden Palace, Sirsa Rd, Bhagat Singh Colony, Hisar, Haryana 125001",warehouses in india,5.0,(1),090151 76971,"https://www.google.com/maps/place/Warehousing+Express+Logistics+Pvt+Ltd/@29.1335651,75.4479622,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x3912332f2cf46cc5:0x7cc1b2a54ad8ac20!8m2!3d29.1335651!4d75.7528328!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11p4gljv22?entry=ttu"
Self Storage India Warehouse,"Khasra No - 82, Sector 28 Dwarka, Dwarka, New Delhi, Delhi, 110077",warehouses in india,4.8,(53),090902 06090,"https://www.google.com/maps/place/Self+Storage+India+Warehouse/@28.5479757,76.7259232,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390d1b45b1a0d605:0xbda6f244582cd8c4!8m2!3d28.5479757!4d77.0307938!15sChN3YXJlaG91c2VzIGluIGluZGlhWhUiE3dhcmVob3VzZXMgaW4gaW5kaWGSARVzZWxmX3N0b3JhZ2VfZmFjaWxpdHmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkVkVFV0ZHpKUlJSQULgAQA!16s%2Fg%2F11pzbm5wp0?entry=ttu"
SD Global Logistics India Pvt Ltd,"314A,3rd Floor ,D21 Corporate Park Sector-21,Near Sector 8 Metro Station, Dwarka, New Delhi, Delhi 110077",warehouses in india,4.9,(13),093548 98033,"https://www.google.com/maps/place/SD+Global+Logistics+India+Pvt+Ltd/@28.5479757,76.7259232,11z/data=!3m1!5s0x390d1b08c0206831:0x4311d14c03374308!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390d1b2ee6fef4a1:0x7c17412d3b1bd5d3!8m2!3d28.5618181!4d77.0670596!15sChN3YXJlaG91c2VzIGluIGluZGlhWhUiE3dhcmVob3VzZXMgaW4gaW5kaWGSAQl3YXJlaG91c2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjRhbGw1ZDNoQlJSQULgAQA!16s%2Fg%2F11n0kncgs_?entry=ttu"
Warehousing Express Logistics Pvt. Ltd.,"Khasra No. 1097, Kapashera - Samalkha Rd, Kapas Hera Estate, New Delhi, Gurugram, Delhi 110037",warehouses in india,N/A,N/A,075034 37435,"https://www.google.com/maps/place/Warehousing+Express+Logistics+Pvt.+Ltd./@28.5479757,76.7259232,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390d19c26d21f4bd:0x9a86d98f635361a8!8m2!3d28.5182025!4d77.0806575!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11r1__vmcj?entry=ttu"
Food Corporation of India,"M4V6+9C5, MA Road, Mir Bazaar, Jammu and Kashmir 192102",warehouses in india,3.8,(364),N/A,"https://www.google.com/maps/place/Food+Corporation+of+India/@33.6933886,74.806247,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x38e205d47aabd521:0x3e6cd740caefff54!8m2!3d33.6933886!4d75.1111176!15sChN3YXJlaG91c2VzIGluIGluZGlhWhUiE3dhcmVob3VzZXMgaW4gaW5kaWGSAQl3YXJlaG91c2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmxORTV5YldoUlJSQULgAQA!16s%2Fg%2F11_r3kqs8?entry=ttu"
FIL Industries Private Limited - Warehousing Division,"SIDCO Electronic Complex, Rangreth, Srinagar, Jammu and Kashmir 190007",warehouses in india,3.9,(143),0194 230 0168,"https://www.google.com/maps/place/FIL+Industries+Private+Limited+-+Warehousing+Division/@33.9984565,74.4911368,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x38e18e09d980ac1d:0x599d4a0218240e75!8m2!3d33.9984565!4d74.7960074!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11bw621xwc?entry=ttu"
Warehousing Express Logistics Pvt Ltd,"PLOT NO - 3, HALDONI ROAD, WAREHOUSE 1, near NEW BALAJI HOSPITAL, Greater Noida, 201306",warehouses in india,4.1,(9),092782 08606,"https://www.google.com/maps/place/Warehousing+Express+Logistics+Pvt+Ltd/@28.5319261,77.1394284,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390ce92cf59cedc3:0x7be9aa996e13157c!8m2!3d28.5319261!4d77.444299!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11kxhz_kwp?entry=ttu"
Rinku godown,"F6WJ+5V5, Chhan khatrian, near railway line, Jammu and Kashmir 184141",warehouses in india,N/A,N/A,N/A,"https://www.google.com/maps/place/Rinku+godown/@32.4953824,74.927366,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391c17823990975d:0x4f5361b5e865a0fd!8m2!3d32.4953824!4d75.2322366!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11pdw8y4fn?entry=ttu"
Adorish India Private Limited,"New Delhi Dwaraka L&t iicc project gate no, 3, Sector 28 Dwarka, Dwarka, Delhi, 110077",warehouses in india,4.0,(2),098739 24849,"https://www.google.com/maps/place/Adorish+India+Private+Limited/@28.5467672,76.7234968,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390d1beb19871bf9:0xa5500423729b3d2!8m2!3d28.5467672!4d77.0283674!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11qsmnflv2?entry=ttu"
Warehousity,"Plot 10, LSC, 2, Sector 6 Dwarka, Dwarka, New Delhi, Delhi 110075",warehouses in india,4.6,(122),076771 80180,"https://www.google.com/maps/place/Warehousity/@28.5467672,76.7234968,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390ce2b0ffdbcbb9:0x6375ef45a50e69be!8m2!3d28.5897531!4d77.0633212!15sChN3YXJlaG91c2VzIGluIGluZGlhWhUiE3dhcmVob3VzZXMgaW4gaW5kaWGSAQl3YXJlaG91c2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlBOR05wVjB0M0VBReABAA!16s%2Fg%2F11jlw58d5b?entry=ttu"
SS Marketing Services - Abbott India Jammu C&F,"Kartar Building, 33, Narwal, Transportnagar, Jammu, Jammu and Kashmir 180004",warehouses in india,4.0,(1),N/A,"https://www.google.com/maps/place/SS+Marketing+Services+-+Abbott+India+Jammu+C%26F/@32.7123242,74.581253,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x391e83eaa824b115:0x745f227b71712edf!8m2!3d32.7123242!4d74.8861236!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11qrtd600d?entry=ttu"
Nahar Logistics Warehouse,"FJ4W+5R9, Srinagar - Kanyakumari Hwy, Punjab 140417",warehouses in india,3.2,(5),98728009,"https://www.google.com/maps/place/Nahar+Logistics+Warehouse/@32.7123242,74.581253,11z/data=!4m10!1m2!2m1!1swarehouses+in+india!3m6!1s0x390fc4c9880e0af5:0x98b6c2c815bed4ac!8m2!3d30.4554035!4d76.6471143!15sChN3YXJlaG91c2VzIGluIGluZGlhkgEJd2FyZWhvdXNl4AEA!16s%2Fg%2F11g6rhvstp?entry=ttu"
Omaxe Mall,"Mall Rd, opposite Kali Devi Temple, Baradari, Patiala, Punjab 147001",malls in india,4.0,"(14,898)",N/A,"https://www.google.com/maps/place/Omaxe+Mall/@30.337374,76.0894874,11z/data=!4m11!1m3!2m2!1smalls+in+india!6e6!3m6!1s0x391028ec5f8ab38d:0x16bbb0d7e8409a94!8m2!3d30.337374!4d76.394358!15sCg5tYWxscyBpbiBpbmRpYZIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F1tfpy755?entry=ttu"
